time,phi,sigma,Maximum r for Alpha (percent),Maximum r for Beta (percent),Maximum r for Gamma (percent),Maximum r for Delta (percent),Maximum r for Epsilon (percent),Maximum r for Zeta (percent),Maximum r for Eta (percent),Maximum r for Theta (percent),Alpha vs Beta (percent),Alpha vs Beta (percent),Alpha vs Beta (percent),Alpha vs Gamma (percent),Alpha vs Gamma (percent),Alpha vs Gamma (percent),Alpha vs Epsilon (percent),Alpha vs Epsilon (percent),Alpha vs Epsilon (percent),Beta vs Delta (percent),Beta vs Delta (percent),Beta vs Delta (percent),Beta vs Zeta (percent),Beta vs Zeta (percent),Beta vs Zeta (percent),Gamma vs Delta (percent),Gamma vs Delta (percent),Gamma vs Delta (percent),Gamma vs Eta (percent),Gamma vs Eta (percent),Gamma vs Eta (percent),Delta vs Theta (percent),Delta vs Theta (percent),Delta vs Theta (percent),Epsilon vs Zeta (percent),Epsilon vs Zeta (percent),Epsilon vs Zeta (percent),Epsilon vs Eta (percent),Epsilon vs Eta (percent),Epsilon vs Eta (percent),Zeta vs Theta (percent),Zeta vs Theta (percent),Zeta vs Theta(percent),Eta vs Theta (percent),Etavs Theta (percent),Eta vs Theta(percent),Maximum w for Alpha,Maximum w for Beta,Maximum w for Gamma,Maximum w for Delta,Maximum w for Epsilon,Maximum w for Zeta,Maximum w for Eta,Maximum w for Theta,Alpha vs Beta,Alpha vs Beta,Alpha vs Beta,Alpha vs Gamma,Alpha vs Gamma,Alpha vs Gamma,Alpha vs Epsilon,Alpha vs Epsilon,Alpha vs Epsilon,Beta vs Delta,Beta vs Delta,Beta vs Delta,Beta vs Zeta,Beta vs Zeta,Beta vs Zeta,Gamma vs Delta,Gamma vs Delta,Gamma vs Delta,Gamma vs Eta,Gamma vs Eta,Gamma vs Eta,Delta vs Theta,Delta vs Theta,Delta vs Theta,Epsilon vs Zeta,Epsilon vs Zeta,Epsilon vs Zeta,Epsilon vs Eta,Epsilon vs Eta,Epsilon vs Eta,Zeta vs Theta,Zeta vs Theta,Zeta vs Theta,Eta vs Theta,Eta vs Theta,Eta vs Theta
0.904522613065,0.050000000000,0.100000000000,297.962394666328,294.073869398223,232.880969439056,232.689684663953,144.875786202585,149.903325132946,144.862346595695,149.715314188685,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-4.925760860144,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,20.419150097428,Inf,Inf,0.062954839500,0.019088586329,0.061326332107,0.014315926711,0.017781358446,0.019064185736,0.017688914471,0.014286645104,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.019119515574,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.013088493058,Inf,Inf
1.206030150754,0.050000000000,0.100000000000,297.962394666328,294.073869398223,232.880969439056,232.689684663953,144.875786202585,149.903325132946,144.862346595695,149.715314188685,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-5.034162596625,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,20.279553121506,Inf,Inf,0.063911097295,0.019660985100,0.062284814023,0.014754037087,0.018289862693,0.019635949684,0.018195129742,0.014723957747,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.019694919233,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.013497642931,Inf,Inf
1.507537688442,0.050000000000,0.100000000000,297.962394666328,294.073869398223,232.880969439056,232.689684663953,144.875786202585,149.903325132946,144.862346595695,149.715314188685,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-5.144486419913,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,20.137467125561,Inf,Inf,0.064881880248,0.020250369523,0.063257878066,0.015205553414,0.018812423813,0.020224684771,0.018715353177,0.015174656483,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.020287528013,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.013919732760,Inf,Inf
1.809045226131,0.050000000000,0.100000000000,297.962394666328,294.073869398223,232.880969439056,232.689684663953,144.875786202585,149.903325132946,144.862346595695,149.715314188685,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-5.256771192436,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,19.992841403928,Inf,Inf,0.065867408989,0.020857235669,0.064245745413,0.015670885837,0.019349410515,0.020830886836,0.019249952783,0.015639151057,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.020897852609,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.014355179350,Inf,Inf
2.110552763819,0.050000000000,0.100000000000,297.962394666328,294.073869398223,232.880969439056,232.689684663953,144.875786202585,149.903325132946,144.862346595695,149.715314188685,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-5.371056727909,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,19.845624001114,Inf,Inf,0.066867907502,0.021482093744,0.065248640609,0.016150457044,0.019901200388,0.021455065856,0.019799305458,0.016117863760,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.021526418790,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.014804413320,Inf,Inf
2.412060301508,0.050000000000,0.100000000000,297.962394666328,294.073869398223,232.880969439056,232.689684663953,144.875786202585,149.903325132946,144.862346595695,149.715314188685,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-5.487383820421,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,19.695761673502,Inf,Inf,0.067883603171,0.022125468479,0.066266791609,0.016644702652,0.020468180092,0.022097746333,0.020363797174,0.016611229806,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.022173767848,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.015267879583,Inf,Inf
2.713567839196,0.050000000000,0.100000000000,297.962394666328,294.073869398223,232.880969439056,232.689684663953,144.875786202585,149.903325132946,144.862346595695,149.715314188685,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-5.605794274601,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,19.543199849617,Inf,Inf,0.068914726833,0.022787899524,0.067300429837,0.017154071601,0.021050745540,0.022759467690,0.020943823164,0.017119697732,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.022840457053,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.015746037846,Inf,Inf
3.015075376884,0.050000000000,0.100000000000,297.962394666328,294.073869398223,232.880969439056,232.689684663953,144.875786202585,149.903325132946,144.862346595695,149.715314188685,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-5.726330936949,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,19.387882588886,Inf,Inf,0.069961512835,0.023469941857,0.068349790235,0.017679026563,0.021649302088,0.023440784683,0.021539788112,0.017643729806,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.023527060136,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.016239363121,Inf,Inf
3.316582914573,0.050000000000,0.100000000000,297.962394666328,294.073869398223,232.880969439056,232.689684663953,144.875786202585,149.903325132946,144.862346595695,149.715314188685,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-5.849037728349,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,19.229752538835,Inf,Inf,0.071024199080,0.024172166200,0.069415111319,0.018220044358,0.022264264731,0.024142267816,0.022152106350,0.018183802445,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.024234167771,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.016748346259,Inf,Inf
3.618090452261,0.050000000000,0.100000000000,297.962394666328,294.073869398223,232.880969439056,232.689684663953,144.875786202585,149.903325132946,144.862346595695,149.715314188685,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-5.973959677843,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,19.068750890636,Inf,Inf,0.072103027087,0.024895159451,0.070496635229,0.018777616393,0.022896058292,0.024864503772,0.022781202050,0.018740406648,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.024962388084,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.017273494508,Inf,Inf
