
time,Alpha max r (percent),Beta max r (percent),Gamma max r (percent),Delta max r (percent),Alpha vs Beta r (percent),Alpha vs Beta r (Percent),Alpha vs Gamma r (percent),Alpha vs Gamma r (Percent),Beta vs Delta r (percent),Beta vs Delta r (Percent),Delta vs Gamma r (percent),Delta vs Gamma r (percent),Alpha max w,Beta max w,Gamma max w,Delta max w,Alpha vs Beta w,Alpha vs Beta w,Alpha vs Gamma w,Alpha vs Gamma w,Beta vs Delta w,Beta vs Delta w,Delta vs Gamma w,Delta vs Gamma w
0.909090909091,226.237921249264,275.293312520401,183.758231330762,139.110082431020,44.104378023467,167.689509971673,Inf,Inf,Inf,Inf,10.316721323349,Inf,0.781452455756,0.970208781975,0.778853559848,0.871678645067,0.622830117460,0.194822729098,Inf,Inf,Inf,Inf,0.739845542173,Inf
0.959595959596,226.237921249264,275.293312520401,183.758231330762,139.110082431020,43.916116223417,167.750449065633,Inf,Inf,Inf,Inf,7.126040559774,Inf,0.813672825761,1.009261458669,0.809989550911,0.875915227975,0.649208185931,0.202641732746,Inf,Inf,Inf,Inf,0.781879095722,Inf
1.010101010101,226.237921249264,275.293312520401,183.758231330762,139.110082431020,43.721238586646,167.813397743155,Inf,Inf,Inf,Inf,3.975454111172,Inf,0.847221686368,1.049851290837,0.842334784445,0.880172401768,0.676728237959,0.210766973910,Inf,Inf,Inf,Inf,0.825972123315,Inf
1.060606060606,226.237921249264,275.293312520401,183.758231330762,139.110082431020,43.519518955300,167.878415601282,Inf,Inf,Inf,Inf,0.869300415136,Inf,0.882153813088,1.092036118331,0.875933530767,0.884450266523,0.705441573171,0.219209884767,Inf,Inf,Inf,Inf,0.872199950182,Inf
1.111111111111,226.237921249264,275.293312520401,183.758231330762,139.110082431020,43.310723832887,167.945563559033,Inf,Inf,Inf,Inf,Inf,Inf,0.918526239907,1.135875754241,0.910831477527,0.888748922804,0.735401930519,0.227982283311,Inf,Inf,Inf,Inf,Inf,Inf
1.161616161616,226.237921249264,275.293312520401,183.758231330762,139.110082431020,43.094612168088,168.014903856707,Inf,Inf,Inf,Inf,Inf,Inf,0.956398352395,1.181432036638,0.947075759593,0.893068471662,0.766665613561,0.237096383434,Inf,Inf,Inf,Inf,Inf,Inf
1.212121212121,226.237921249264,275.293312520401,183.758231330762,139.110082431020,42.870935133177,168.086500052787,Inf,Inf,Inf,Inf,Inf,Inf,0.995831984677,1.228768880428,0.984714988313,0.897409014641,0.799291622756,0.246564805050,Inf,Inf,Inf,Inf,Inf,Inf
1.262626262626,226.237921249264,275.293312520401,183.758231330762,139.110082431020,42.639435896951,168.160417018282,Inf,Inf,Inf,Inf,Inf,Inf,1.036891520382,1.277952329203,1.023799280019,0.901770653777,0.833341795226,0.256400584253,Inf,Inf,Inf,Inf,Inf,Inf
1.313131313131,226.237921249264,275.293312520401,183.758231330762,139.110082431020,42.399849392032,168.236720928334,Inf,Inf,Inf,Inf,Inf,Inf,1.079643997766,1.329050606938,1.064380283627,0.906153491605,0.868880952416,0.266617183490,Inf,Inf,Inf,Inf,Inf,Inf
1.363636363636,226.237921249264,275.293312520401,183.758231330762,139.110082431020,42.151902076424,168.315479250937,Inf,Inf,Inf,Inf,Inf,Inf,1.124159219165,1.382134169413,1.106511207184,0.910557631153,0.905977056157,0.277228501720,Inf,Inf,Inf,Inf,Inf,Inf
1.414141414141,226.237921249264,275.293312520401,183.758231330762,139.110082431020,41.895311689182,168.396760732586,Inf,Inf,Inf,Inf,Inf,Inf,1.170509864965,1.437275755181,1.150246843208,0.914983175955,0.944701373632,0.288248884542,Inf,Inf,Inf,Inf,Inf,Inf
1.464646464646,226.237921249264,275.293312520401,183.758231330762,139.110082431020,41.629787000055,168.480635380685,Inf,Inf,Inf,Inf,Inf,Inf,1.218771612260,1.494550435931,1.195643592636,0.919430230046,0.985128651816,0.299693134271,Inf,Inf,Inf,Inf,Inf,Inf
1.515151515152,226.237921249264,275.293312520401,183.758231330762,139.110082431020,41.355027552939,168.567174442544,Inf,Inf,Inf,Inf,Inf,Inf,1.269023258421,1.554035666044,1.242759487199,0.923898897966,1.027337301955,0.311576519925,Inf,Inf,Inf,Inf,Inf,Inf
1.565656565657,226.237921249264,275.293312520401,183.758231330762,139.110082431020,41.070723402990,168.656450380775,Inf,Inf,Inf,Inf,Inf,Inf,1.321346849741,1.615811331150,1.291654210038,0.928389284764,1.071409594735,0.323914787110,Inf,Inf,Inf,Inf,Inf,Inf
1.616161616162,226.237921249264,275.293312520401,183.758231330762,139.110082431020,40.776554847207,168.748536844935,Inf,Inf,Inf,Inf,Inf,Inf,1.375827815396,1.679959795478,1.342389114344,0.932901495999,1.117431866780,0.336724167761,Inf,Inf,Inf,Inf,Inf,Inf
1.666666666667,226.237921249264,275.293312520401,183.758231330762,139.110082431020,40.472192148315,168.843508639207,Inf,Inf,Inf,Inf,Inf,Inf,1.432555106927,1.746565947753,1.395027239806,0.937435637744,1.165494739220,0.350021389708,Inf,Inf,Inf,Inf,Inf,Inf
1.717171717172,226.237921249264,275.293312520401,183.758231330762,139.110082431020,40.157295251730,168.941441685972,Inf,Inf,Inf,Inf,Inf,Inf,1.491621343468,1.815717245408,1.449633326640,0.941991816587,1.215693349070,0.363823686049,Inf,Inf,Inf,Inf,Inf,Inf
1.767676767677,226.237921249264,275.293312520401,183.758231330762,139.110082431020,39.831513495399,169.042412985083,Inf,Inf,Inf,Inf,Inf,Inf,1.553122962970,1.887503756835,1.506273826953,0.946570139633,1.268127594230,0.378148804269,Inf,Inf,Inf,Inf,Inf,Inf
1.818181818182,226.237921249264,275.293312520401,183.758231330762,139.110082431020,39.494485312286,169.146500568675,Inf,Inf,Inf,Inf,Inf,Inf,1.617160379657,1.962018201402,1.565016913188,0.951170714509,1.322902392982,0.393015015094,Inf,Inf,Inf,Inf,Inf,Inf
1.868686868687,226.237921249264,275.293312520401,183.758231330762,139.110082431020,39.145837925239,169.253783451342,Inf,Inf,Inf,Inf,Inf,Inf,1.683838147966,2.039355986926,1.625932483387,0.955793649366,1.380127958896,0.408441121015,Inf,Inf,Inf,Inf,Inf,Inf
1.919191919192,226.237921249264,275.293312520401,183.758231330762,139.110082431020,38.785187033989,169.364341575524,Inf,Inf,Inf,Inf,Inf,Inf,1.753265133262,2.119615244297,1.689092162987,0.960439052877,1.439920092133,0.424446464468,Inf,Inf,Inf,Inf,Inf,Inf
1.969696969697,226.237921249264,275.293312520401,183.758231330762,139.110082431020,38.412136493974,169.478255751944,Inf,Inf,Inf,Inf,Inf,Inf,1.825554689579,2.202896858892,1.754569302864,0.965107034247,1.502400488195,0.441050935596,Inf,Inf,Inf,Inf,Inf,Inf
2.020202020202,226.237921249264,275.293312520401,183.758231330762,139.110082431020,38.026277986679,169.595607594953,Inf,Inf,Inf,Inf,Inf,Inf,1.900824844697,2.289304498451,1.822438973331,0.969797703209,1.567697065245,0.458274979575,Inf,Inf,Inf,Inf,Inf,Inf
2.070707070707,226.237921249264,275.293312520401,183.758231330762,139.110082431020,37.627190681161,169.716479452638,Inf,Inf,Inf,Inf,Inf,Inf,1.979198492843,2.378944637010,1.892777953757,0.974511170032,1.635944311197,0.476139603439,Inf,Inf,Inf,Inf,Inf,Inf
2.121212121212,226.237921249264,275.293312520401,183.758231330762,139.110082431020,37.214440886387,169.840954331568,Inf,Inf,Inf,Inf,Inf,Inf,2.060803595345,2.471926574514,1.965664717515,0.979247545518,1.707283651849,0.494666382359,Inf,Inf,Inf,Inf,Inf,Inf
2.171717171717,226.237921249264,275.293312520401,183.758231330762,139.110082431020,36.787581693992,169.969115816059,Inf,Inf,Inf,Inf,Inf,Inf,2.145773389553,2.568362451681,2.041179411902,0.984006941011,1.781863841434,0.513877465322,Inf,Inf,Inf,Inf,Inf,Inf
2.222222222222,226.237921249264,275.293312520401,183.758231330762,139.110082431020,36.346152611051,170.101047981852,Inf,Inf,Inf,Inf,Inf,Inf,2.234246606379,2.668367259685,2.119403832712,0.988789468392,1.859841377051,0.533795580167,Inf,Inf,Inf,Inf,Inf,Inf
2.272727272727,226.237921249264,275.293312520401,183.758231330762,139.110082431020,35.889679182384,170.236835304123,Inf,Inf,Inf,Inf,Inf,Inf,2.326367696804,2.772058844199,2.200421393094,0.993595240089,1.941380938530,0.554444037903,Inf,Inf,Inf,Inf,Inf,Inf
2.323232323232,226.237921249264,275.293312520401,183.758231330762,139.110082431020,35.417672601938,170.376562559731,Inf,Inf,Inf,Inf,Inf,Inf,2.422287067721,2.879557903335,2.284317086373,0.998424369075,2.026655855407,0.575846736270,Inf,Inf,Inf,Inf,Inf,Inf
2.373737373737,226.237921249264,275.293312520401,183.758231330762,139.110082431020,34.929629312693,170.520314723663,Inf,Inf,Inf,Inf,Inf,Inf,2.522161327511,2.990987978962,2.371177442446,1.003276968873,2.115848602797,0.598028162468,Inf,Inf,Inf,Inf,Inf,Inf
2.424242424242,226.237921249264,275.293312520401,183.758231330762,139.110082431020,34.425030594559,170.668176859633,Inf,Inf,Inf,Inf,Inf,Inf,2.626153541734,3.106475440919,2.461090477414,1.008153153557,2.209151328063,0.621013395008,Inf,Inf,Inf,Inf,Inf,Inf
2.474747474747,226.237921249264,275.293312520401,183.758231330762,139.110082431020,33.903342139633,170.820234004802,Inf,Inf,Inf,Inf,Inf,Inf,2.734433499370,3.226149463575,2.554145636088,1.013053037755,2.306766410339,0.644828104608,Inf,Inf,Inf,Inf,Inf,Inf
2.525252525253,226.237921249264,275.293312520401,183.758231330762,139.110082431020,33.364013614208,170.976571048644,Inf,Inf,Inf,Inf,Inf,Inf,2.847177990034,3.350141994196,2.650433726992,1.017976736654,2.408907055086,0.669498554079,Inf,Inf,Inf,Inf,Inf,Inf
2.575757575758,226.237921249264,275.293312520401,183.758231330762,139.110082431020,32.806478206820,171.137272605955,Inf,Inf,Inf,Inf,Inf,Inf,2.964571092625,3.478587712575,2.750046849541,1.022924365998,2.515797926014,0.695051597131,Inf,Inf,Inf,Inf,Inf,Inf
2.626262626263,226.237921249264,275.293312520401,183.758231330762,139.110082431020,32.230152161616,171.302422884067,Inf,Inf,Inf,Inf,Inf,Inf,3.086804475866,3.611623981329,2.853078313008,1.027896042096,2.627675816884,0.721514676032,Inf,Inf,Inf,Inf,Inf,Inf
2.676767676768,226.237921249264,275.293312520401,183.758231330762,139.110082431020,31.634434296261,171.472105544344,Inf,Inf,Inf,Inf,Inf,Inf,3.214077711252,3.749390786310,2.959622546970,1.032891881822,2.744790365873,0.748915818057,Inf,Inf,Inf,Inf,Inf,Inf
2.727272727273,226.237921249264,275.293312520401,183.758231330762,139.110082431020,31.018705503562,171.646403558036,Inf,Inf,Inf,Inf,Inf,Inf,3.346598598886,3.892030666524,3.069775002880,1.037912002617,2.867404815357,0.777283630645,Inf,Inf,Inf,Inf,Inf,Inf
2.777777777778,226.237921249264,275.293312520401,183.758231330762,139.110082431020,30.382328235924,171.825399056637,Inf,Inf,Inf,Inf,Inf,Inf,3.484583506757,4.039688632969,3.183632046480,1.042956522493,2.995796820211,0.806647295215,Inf,Inf,Inf,Inf,Inf,Inf
2.828282828283,226.237921249264,275.293312520401,183.758231330762,139.110082431020,29.724645971717,172.009173176883,Inf,Inf,Inf,Inf,Inf,Inf,3.628257724009,4.192512075802,3.301290840735,1.048025560035,3.130259307906,0.837036559549,Inf,Inf,Inf,Inf,Inf,Inf
2.878787878788,226.237921249264,275.293312520401,183.758231330762,139.110082431020,29.044982662564,172.197805900583,Inf,Inf,Inf,Inf,Inf,Inf,3.777855828767,4.350650659235,3.422849219029,1.053119234407,3.271101393945,0.868481728688,Inf,Inf,Inf,Inf,Inf,Inf
